museo_id,museo_nombre,museo_tematica_n1,museo_fecha_fundacion,museo_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,museo_calle_numero,museo_colonia,museo_cp,museo_telefono1,pagina_web,pagina_web2,email,twitter,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
602,"Descubre. Museo Interactivo de Ciencia y Tecnología","Ciencia y tecnología","1996-11-20","Instituto para el Desarrollo de la Sociedad y el Conocimiento del Estado de Aguascalientes (IDSCEA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Av. San Miguel s/n","Fracc. Jardines del Parque","20270","449 978 03 38 exts. 7129, 7115","http://www.aguascalientes.gob.mx/descubre/","","reservaciones.descubre1@gmail.com ","descubreAGS",-102.28929,21.85596,"http://sic.gob.mx/ficha.php?table=museo&table_id=602","2021-08-31 14:49:38-05"
361,"Museo de la Fauna ","Ciencia y tecnología","1989-04-24","Secretaría del Medio Ambiente Estatal/CEAR Rodolfo Landeros Gallegos",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Blvd. José María Chávez s/n","Col. Ciudad Industrial","20290","(449) 688 10 87","http://www.aguascalientes.gob.mx/ssmaa/Areasverdes/cearRLG.html","","rquel.baccio@aguascalientes.gob.mx","",-102.29124,21.85177,"http://sic.gob.mx/ficha.php?table=museo&table_id=361","2019-08-21 06:17:57-05"
223,"Museo de Aguascalientes","Arte","1975-10-22","Instituto Cultural de Aguascalientes (ICA)",1,"Aguascalientes",1,"Aguascalientes",1,"Aguascalientes","Zaragoza 505","Centro","20000","(449) 916 71 42","","","museoaguascalientes@gmail.com","",-102.29129,21.88575,"http://sic.gob.mx/ficha.php?table=museo&table_id=223","2021-01-15 06:34:20-06"
2157,"Museo Nacional de los Pueblos Mágicos","","2019-09-12","Ayuntamiento de Calvillo/Secretaría de Turismo",1,"Aguascalientes",3,"Calvillo",1,"Calvillo","Av. Benito Juárez 312","Centro","20800","(495) 686 00 06","","","municipiodecalvillo@gmail.com","",-102.71875,21.84691,"http://sic.gob.mx/ficha.php?table=museo&table_id=2157","2021-09-08 04:11:53-05"
1047,"Museo Comunitario del Deporte e Historia","Especializado","1994-11-20"," Asociación Civil de Pabellonences, A.C.",1,"Aguascalientes",6,"Pabellón de Arteaga",1,"Pabellón de Arteaga","Av. 16 de Septiembre s/n esq. Irrigación","Centro","20660","465 117 30 12,","","","museocomunitariodeldeporteac@gmail.com","",-102.27521,22.14663,"http://sic.gob.mx/ficha.php?table=museo&table_id=1047","2021-06-07 03:57:44-05"
1048,"Museo de la Insurgencia","Historia","1964-10-17","Instituto Cultural de Aguascalientes (ICA)/Dirección de Promoción y Difusión",1,"Aguascalientes",7,"Rincón de Romos",1,"Rincón de Romos","Plaza 24 de Enero  núm. 19","Centro","20436","(465) 958 18 02","","","museodelainsurgencia@hotmail.com","",-102.34162,22.17491,"http://sic.gob.mx/ficha.php?table=museo&table_id=1048","2021-06-07 04:58:53-05"
600,"Museo de Historia de Ensenada","Arqueología","1993-05-20","Centro Social Cívico y Cultural Riviera, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Blvd. Lázaro Cárdenas 1421","Centro","22800","(646) 177 05 94","http://museoens.com/","","museoenelriviera@hotmail.com","",-116.61976,31.85859,"http://sic.gob.mx/ficha.php?table=museo&table_id=600","2021-01-18 05:46:55-06"
1809,"Museo Katsuo","Ciencia y tecnología","2016-03-10","Facultad de Ciencias Marinas de la Universidad Autónoma de Baja California",2,"Baja California",1,"Ensenada",1,"Ensenada","Carr. Transpeninsular Ensenada-Tijuana 3917","Col. Playitas","22860","(646) 174 45 70","","","museokatsuo@hotmail.com","",-116.66712,31.86424,"http://sic.gob.mx/ficha.php?table=museo&table_id=1809","2021-01-18 06:36:34-06"
620,"Caracol Museo de Ciencias ","Ciencia y tecnología","1998-05-04","Caracol Centro Científico y Cultural, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Club Rotario 3","Centro","22800","(646) 177 08 97","http://www.caracol.org.mx/","","comunicacion@caracol.org.mx","MuseoCaracol",-116.62059,31.85749,"http://sic.gob.mx/ficha.php?table=museo&table_id=620","2021-06-08 05:01:09-05"
653,"Museo del Estero","Antropología","1987-04-01","Fundación Estero Beach, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Playas del Estero s/n","Ex- Ejido Chapultepec","22785","(646) 176 62 44","","","linda.v@hotelesterobeach.com","",-116.61688,31.77748,"http://sic.gob.mx/ficha.php?table=museo&table_id=653","2019-08-21 06:57:31-05"
932,"Museo Histórico Regional de Ensenada","Historia","1995-05-15","Secretaría de Cultura/INAH",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Gastélum s/n","Centro","22800","646 178 36 92","http://www.inah.gob.mx/red-de-museos/194-museo-historico-regional-ex-cuartel-de-la-compania-fija","","mhre.inah@gmail.com.mx; mario_acevedoa@inah.gob.mx","",-116.62822,31.86338,"http://sic.gob.mx/ficha.php?table=museo&table_id=932","2020-03-02 04:46:04-06"
1662,"Museo de la Vid y el Vino","Especializado","2012-08-03","Patronato del Museo de la Vid y el Vino de Baja California, A.C.",2,"Baja California",1,"Ensenada",1,"Ensenada","Carr. Federal Tecate-Ensenada Km 81.3","Col. Valle de Guadalupe","22750","(646)  156 81 65","","","info@museodelvinobc.com","",-116.58673,32.06974,"http://sic.gob.mx/ficha.php?table=museo&table_id=1662","2021-07-26 05:41:11-05"
592,"Museo Comunitario Ruso","Antropología","1991-08-01","",2,"Baja California",1,"Ensenada",1,"Ensenada","Principal 276","Poblado Francisco Zarco","22750","(646) 155 20 30","","https://www.facebook.com/pg/pilirutavino/photos/?tab=album&album_id=395494427194684","franhuer@hotmail.com","",-116.58332,32.09084,"http://sic.gob.mx/ficha.php?table=museo&table_id=592","2021-06-08 06:25:21-05"
931,"Museo Histórico Comunitario del Valle de Guadalupe","Historia","1991-08-31","",2,"Baja California",1,"Ensenada",114,"Francisco Zarco (Valle de Guadalupe)","Calle 3ra., Mza. 25, Lote único","Col. Valle de Guadalupe","22750","045 646 150 31 50","","","","",0,0,"http://sic.gob.mx/ficha.php?table=museo&table_id=931","2017-03-10 13:24:08-06"
742,"Museo Comunitario Altagracia A. de Arauz, San Vicente Ferrer","Antropología","1991-01-01","Ayuntamiento de San Vicente",2,"Baja California",1,"Ensenada",243,"San Vicente","Parque Central de San Vicente, km. 90 al Sur de Ensenada","","22900","(646) 165 66 39, 165 66 35","","","","",-116.25538,31.33648,"http://sic.gob.mx/ficha.php?table=museo&table_id=742","2021-06-08 05:23:18-05"
2163,"Museo Ku'ahl","","1000-01-01","",2,"Baja California",1,"Ensenada",746,"Santa Catarina","","","","","https://piedepagina.mx/el-color-de-la-pobreza/yumanos/una-historia-inesperada-el-museo-ku-ahl.php","https://culturacolectiva.com/historia/ku-ahl-lengua-indigena-yumana-desaparecera-cuando-fallezcan-sus-hablantes","","",-115.90919,31.59441,"http://sic.gob.mx/ficha.php?table=museo&table_id=2163","2019-11-06 16:40:23-06"
743,"Museo Comunitario El Rosario","Historia","1994-10-09","",2,"Baja California",1,"Ensenada",1729,"El Rosario de Abajo","Camino vecinal a la playa Punta Baja s/n","Col. El Rosario de Abajo","22860","Cel. (616) 108 71 59","http://elrosariobc.blogspot.mx/2007/12/museo-comunitario-el-rosario.html","","ingespinoza_57@hotmail.com","",0,0,"http://sic.gob.mx/ficha.php?table=museo&table_id=743","2018-01-31 14:47:59-06"
886,"Museo Sol del Niño","Ciencia y tecnología","1998-09-21","Patronato Museo Sol del Niño, A.C.",2,"Baja California",2,"Mexicali",1,"Mexicali","Alfonso Esquer Sández s/n","Centro","21010","686 900 9030","https://sol.org.mx/visitaMuseo","","contacto@sol.org.mx ","soldelnino",-115.47295,32.65259,"http://sic.gob.mx/ficha.php?table=museo&table_id=886","2020-04-20 08:32:19-05"
328,"Centro  de Investigaciones Culturales Museo","Antropología","1977-10-31","Universidad Autónoma de Baja California",2,"Baja California",2,"Mexicali",1,"Mexicali","Calle L y Av. Reforma","Col. Nueva","21100","(686) 552 57 15","http://iic-museo.uabc.mx/","","amargalli@uabc.edu.mx","",-115.45637,32.66512,"http://sic.gob.mx/ficha.php?table=museo&table_id=328","2020-04-20 11:42:43-05"
1689,"Museo Regional Los Pioneros de Mexicali","Historia","1987-03-15","Particular",2,"Baja California",2,"Mexicali",1,"Mexicali","Blvd. Adolfo López Mateos 2201","Justo Sierra","21380","(686) 561 71 25","","","museoregionalpionerosmexicali@hotmail.com","",-115.44083,32.61433,"http://sic.gob.mx/ficha.php?table=museo&table_id=1689","2021-06-08 08:10:08-05"
930,"Museo Comunitario El Asalto a las Tierras","Historia","1989-10-24","Ayuntamiento de Mexicali",2,"Baja California",2,"Mexicali",225,"Michoacán de Ocampo","Venustiano Carranza s/n esq. Lázaro Cárdenas","Centro","21700","","","","cavb_52@hotmail.com","",0,0,"http://sic.gob.mx/ficha.php?table=museo&table_id=930","2020-04-17 14:43:43-05"
935,"Museo Comunitario  Cucaphá Juan García Aldama ","Antropología","1991-09-10","",2,"Baja California",2,"Mexicali",284,"San Felipe","Carr. Mexicali-San Felipe km. 57","","21730","(686) 543 76 17","","","","",-114.8676,31.03824,"http://sic.gob.mx/ficha.php?table=museo&table_id=935","2021-08-20 04:03:13-05"
1283,"Museo de Sitio Campo Alaska","Historia","2005-03-19","Centro INAH de Baja California",2,"Baja California",3,"Tecate",1,"Tecate","Camino Nacional Circuito Alaska s/n","Poblado La Rumorosa","21510","(686) 552 35 91, 552 35 92","","","jbendimez.bc@inah.gob.com; daniel_aguilar@inah.gob.mx","",-116.04889,32.55108,"http://sic.gob.mx/ficha.php?table=museo&table_id=1283","2021-02-18 06:39:29-06"
114,"Museo Comunitario Tecate","Historia","1997-10-12","Ayuntamiento de Tecate/Centro Cultural Tecate (CECUTEC)",2,"Baja California",3,"Tecate",1,"Tecate","Tláloc 400","Col. Cuauhtémoc","21480","(665) 521 31 91","https://www.carem.org/","","info@carem.org","",-116.61938,32.56996,"http://sic.gob.mx/ficha.php?table=museo&table_id=114","2021-06-08 06:29:33-05"
2081,"Museo de Sitio de la Zona Arqueológica El Vallecito","","1000-01-01","Secretaría de Cultura/INAH",2,"Baja California",3,"Tecate",65,"Ejido Jacumé","Población La Rumorosa","","","(686) 552 35 91, 552 35 92","https://www.inah.gob.mx/zonas/58-zona-arqueologica-el-vallecito","","jaime_velez@inah.gob.mx","",-116.19137,32.59086,"http://sic.gob.mx/ficha.php?table=museo&table_id=2081","2019-07-16 08:05:21-05"
598,"Museo de las Californias","Historia","2000-02-24","Secretaría de Cultura/Centro Cultural Tijuana (CECUT)",2,"Baja California",4,"Tijuana",1,"Tijuana","Paseo de los Héroes 9350","Zona Urbana Río Tijuana","22010","(664) 687 96 52","http://www.cecut.gob.mx/micrositio/museo/museo.html","","museocalifornias@cecut.gob.mx","",-117.02305,32.53007,"http://sic.gob.mx/ficha.php?table=museo&table_id=598","2020-04-20 10:46:26-05"
1327,"Museo de Historia de Tijuana","Historia","2010-11-27","Instituto Municipal de Arte y Cultura de Tijuana (IMAC)",2,"Baja California",4,"Tijuana",1,"Tijuana","Calle 2a. s/n esq. Constitución","Centro","22000","664 688 17 21 exts. 113, 126, 127","http://www.imac.tijuanagob.mx/museo.aspx","","museodehistoriadetijuana@hotmail.com; miriamgarcia.museo@gmail.com","",-117.03876,32.53472,"http://sic.gob.mx/ficha.php?table=museo&table_id=1327","2020-04-17 14:05:25-05"
2055,"Museo de la Lucha Libre Mexicana","Especializado","2017-04-29","Museo de la Siete A.C.",2,"Baja California",4,"Tijuana",1,"Tijuana","Hermenegildo Galeana 8186","Centro","22000","(664) 685 99 26 ","https://www.mullme.com/","","mullme664@gmail.com","mullme664",-117.03679,32.52961,"http://sic.gob.mx/ficha.php?table=museo&table_id=2055","2020-04-18 15:25:19-05"
1276,"Museo Interactivo Tijuana El Trompo","Ciencia y tecnología","2008-12-09","Museo Interactivo Tijuana, A.C.",2,"Baja California",4,"Tijuana",1,"Tijuana","Libramiento Los Insurgentes s/n","Zona Río Tijuana, Tercera Etapa","22226","(664) 634 34 76","http://www.eltrompo.org","","m.digitales@eltrompo.org","",-116.93828,32.49527,"http://sic.gob.mx/ficha.php?table=museo&table_id=1276","2021-06-08 07:04:58-05"
340,"Museo de Cera de Tijuana","Especializado","1993-02-05","Museo de Cera de Tijuana, S.A. de C.V.",2,"Baja California",4,"Tijuana",1,"Tijuana","Calle Primera núm. 8281","Centro","22000","(664) 688 24 78","https://museodeceratijuana.com/","","museodeceradetijuana@hotmail.com","",-117.03588,32.53665,"http://sic.gob.mx/ficha.php?table=museo&table_id=340","2019-09-23 07:15:50-05"
934,"Museo Wa-Kuatay","Historia","1995-05-20","Corredor Histórico Carem, A.C.",2,"Baja California",5,"Playas de Rosarito",1,"Playas de Rosarito","Mar Adriático s/n","Centro","22710","(661) 612 37 74","","","cinahbc@telnor.net","",-117.05863,32.34171,"http://sic.gob.mx/ficha.php?table=museo&table_id=934","2021-06-08 08:21:55-05"
1696,"Museo Comunitario de Mulegé","Arqueología","1993-01-01","Delegación Municipal de Pueblo Mulegé/Comité Pro Museo Comunitario de Mulegé",3,"Baja California Sur",2,"Mulegé",1,"Santa Rosalía","Cananea s/n","Centro","23900","(615) 153 00 56","","","delegacionhmulege2011@hotmail.com","",0,0,"http://sic.gob.mx/ficha.php?table=museo&table_id=1696","2017-03-10 12:30:40-06"
1070,"Museo de Historia de la Minería ","Ciencia y tecnología","1996-10-19","Ayuntamiento de Mulegé",3,"Baja California Sur",2,"Mulegé",1,"Santa Rosalía","Jean Mitchell Cousteau 1 y Luis Pasteur","Col. Mesa Francia","23920","(615) 152 29 99","","","hidalgocamachoguillermo@hotmail.com","",-112.26723,27.33885,"http://sic.gob.mx/ficha.php?table=museo&table_id=1070","2018-10-11 04:38:48-05"
1073,"Museo de las Pinturas Rupestres de San Ignacio","Arqueología","1994-11-01","Secretaría de Cultura/INAH",3,"Baja California Sur",2,"Mulegé",149,"San Ignacio","Profr. Gilberto Valdivia Peña s/n","Col. San Ignacio","23930","(615) 154 02 22","http://www.inah.gob.mx/es/red-de-museos/196-museo-de-las-pinturas-rupestres-de-san-ignacio","","keey__75@hotmail.com","",-112.89877,27.28334,"http://sic.gob.mx/ficha.php?table=museo&table_id=1073","2021-06-09 05:58:19-05"
936,"Museo Regional de Antropología e Historia de Baja California Sur","Arqueología","1981-03-30","Secretaría de Cultura/INAH",3,"Baja California Sur",3,"La Paz",1,"La Paz","Av. Ignacio Manuel Altamirano s/n  esq. 5 de Mayo y Constitución","Centro","23000","(612) 122 01 62","http://www.inah.gob.mx/es/red-de-museos/197-museo-regional-de-baja-california-sur","","horizontebcs@gmail.com; museorahbcs@gmail.com","",-110.30881,24.15956,"http://sic.gob.mx/ficha.php?table=museo&table_id=936","2020-03-02 04:54:25-06"
2183,"Museo de Arte de Baja California Sur","","2020-11-12","Gobierno del Estado",3,"Baja California Sur",3,"La Paz",1,"La Paz","Calle 5 de Mayo s/n","Col. Centro","23000","612 122 48980","https://www.muabcs.com/","","redesmuabcs@gmail.com; gabrielavaladez.muabcs@bcs.gob.mx","",-110.3074,24.15818,"http://sic.gob.mx/ficha.php?table=museo&table_id=2183","2020-11-30 08:37:00-06"
560,"Museo de Historia Regional de Todos Santos","Historia","1978-10-06","Centro Cultural Profr. Néstor Agúndez Martínez/Ayuntamiento de La Paz",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","Benito Juárez s/n","Centro","23305","(612) 145 00 59","","","culturaenlapaz@hotmail.com","",-110.22327,23.45098,"http://sic.gob.mx/ficha.php?table=museo&table_id=560","2019-08-21 08:03:13-05"
2072,"Centro Regional Interpretativo Ruta de Plata","","2018-11-16","Secretaría de Turismo del Estado de Baja Califonria Sur",3,"Baja California Sur",3,"La Paz",911,"El Triunfo","Calle Progreso esq. Ayuntamiento","","23210","(612) 229 55 87","https://www.museorutadeplata.com/bienvenidos",""," info@museorutadeplata.com","",-110.10843,23.80261,"http://sic.gob.mx/ficha.php?table=museo&table_id=2072","2021-06-09 04:58:45-05"
2082,"Museo de sitio de la Zona Arqueológica de Sierra San Francisco","","1000-01-01","Secretaría de Cultura / INAH",3,"Baja California Sur",3,"La Paz",1711,"San Ignacio","","","23930","(612) 122 73 89","https://www.inah.gob.mx/zonas/59-zona-arqueologica-de-la-sierra-de-san-francisco","","sierrasanfrancisco@hotmail","",-111.30598,24.72442,"http://sic.gob.mx/ficha.php?table=museo&table_id=2082","2019-06-26 05:30:24-05"
1128,"Museo de Historia Natural de Cabo San Lucas","Ciencia y tecnología","2006-10-09","Ayuntamiento de Los Cabos",3,"Baja California Sur",8,"Los Cabos",54,"Cabo San Lucas","Calle Lázaro Cárdenas s/n, Plaza Amelia Wilkes","Centro","23410","(624) 105 06 61","","","museohist@outlook.com","",-109.91464,22.8829,"http://sic.gob.mx/ficha.php?table=museo&table_id=1128","2021-01-18 08:47:29-06"
1072,"Museo de las Misiones Jesuitas en Baja California","Historia","1973-12-01","Secretaría de Cultura/INAH",3,"Baja California Sur",9,"Loreto",1,"Loreto","Salvatierra Misioneros 16","Centro","23880","613 135 0441","http://www.inah.gob.mx/red-de-museos/198-museo-de-las-misiones-de-baja-california","https://mediateca.inah.gob.mx/islandora_74/islandora/object/museo:1534","joaquin_munoz@inah.gob.mx","",-111.34359,26.01012,"http://sic.gob.mx/ficha.php?table=museo&table_id=1072","2020-02-17 05:28:25-06"
1676,"Museo API a Pedro Infante","Historia","2012-02-16","Gobierno del Estado de Campeche/Administración Portuaria Integral",4,"Campeche",1,"Calkiní",1,"Calkiní","72 km del municipio de Calkiní, Faro de Isla Arena","","24919","","http://educacionculturaydeporte.calkini.gob.mx/coordinaciones/turismo/isla-arena/","","","",-90.45257,20.68642,"http://sic.gob.mx/ficha.php?table=museo&table_id=1676","2021-06-10 04:10:56-05"
2150,"Museo comunitario de Bécal","","2011-10-08","",4,"Campeche",1,"Calkiní",4,"Bécal","Calle 30 s/n (Frente a la glorieta de la artesana)","Col. Pablo García","24930","996 102 8574","http://www.museodebecal.com","","museodebecal@gmail.com; jorgejagongora@gmail.com","museodebecal",-90.0273,20.4356,"http://sic.gob.mx/ficha.php?table=museo&table_id=2150","2020-03-12 08:04:35-06"
1814,"Museo de Arte Sacro (Capilla de Jesús de Nazareno)","Arte","2002-01-01","Catedral de Nuestra Señora de la Purísima Concepción",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 55 entre 10 y 8","Centro","24000","(981) 816 31 44","","","hola@TurismoCampeche.com","",-90.53631,19.84615,"http://sic.gob.mx/ficha.php?table=museo&table_id=1814","2021-01-15 03:51:01-06"
1749,"Museo Baluarte de Santa Rosa","Arte","1997-01-01","Ayuntamiento de Campeche/Dirección de Cultura/Coordinación de Patrimonio",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Cto. Baluartes, Calle 67 s/n","Barrio San Román","24000","(981) 816 64 35","","http://www.campeche.travel/baluarte-de-santa-rosa/","campecheamg@gmail.com","",-90.54046,19.84156,"http://sic.gob.mx/ficha.php?table=museo&table_id=1749","2018-11-22 06:43:39-06"
1760,"Museo Universitario de la Vida ","Ciencia y tecnología","2014-12-18","Universidad Autónoma de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. Lázaro Cárdenas 65","Fracc. Bugambilias","24090","(981) 811 98 00 ext. 1050610","https://muvi.uacam.mx/","","muvi@uacam.mx","",-90.52628,19.82849,"http://sic.gob.mx/ficha.php?table=museo&table_id=1760","2021-07-01 05:50:32-05"
1778,"Museo  El Palacio","Historia","2015-03-17","Centro Cultural El Palacio/Secretaría de Cultura de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 8 núm. 257","Centro","24000","(981) 811 03 66","","","museoelpalaciocc@gmail.com","",-90.53747,19.84615,"http://sic.gob.mx/ficha.php?table=museo&table_id=1778","2021-07-01 05:27:24-05"
739,"Museo de Arqueología Maya, Fuerte de San Miguel","Arqueología","1965-10-01","Secretaría de Cultura/INAH",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. Escénica s/n","Col. Buenavista","24039","(981) 816 91 36 ext. 138036","http://www.inah.gob.mx/es/red-de-museos/202-museo-arqueologico-de-campeche-fuerte-de-san-miguel","","museos.camp@inah.gob.mx","",-90.56865,19.82463,"http://sic.gob.mx/ficha.php?table=museo&table_id=739","2020-02-18 02:34:35-06"
2009,"Museo de Arqueología Subacuática Fuerte de San José El Alto","","2017-12-07","Secretaría de Cultura/INAH",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 5 por Av. Francisco Morazán s/n","Col. San José El Alto","24026","(981) 816 91 36 ext. 138036","http://www.inah.gob.mx/es/red-de-museos/6885-museo-de-arqueologia-subacuatica-fuerte-de-san-jose-el-alto","","museos.camp@inah.gob.mx","INAHCampeche",-90.51048,19.86056,"http://sic.gob.mx/ficha.php?table=museo&table_id=2009","2020-03-24 07:02:52-06"
540,"Museo de la Ciudad, Baluarte de San Carlos","Historia","1989-01-01","Ayuntamiento de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 8 s/n","Centro","24000","(981) 811 39 90","","","detc@gmail.com","",-90.54065,19.84458,"http://sic.gob.mx/ficha.php?table=museo&table_id=540","2021-07-05 04:00:43-05"
126,"Museo de la Arquitectura Maya Baluarte de la Soledad","Arqueología","1958-01-01","Secretaría de Cultura/INAH",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 8 s/n entre 57 y 59","Centro","24000","(981) 816 91 11 exts. 138035, 138036","","https://lugares.inah.gob.mx/lugar-112-es","museos.camp@inah.gob.mx","",-90.53787,19.84639,"http://sic.gob.mx/ficha.php?table=museo&table_id=126","2020-03-02 03:53:55-06"
1601,"Casa de la Tecnología de Campeche DGETI SECUD","Ciencia y tecnología","1995-02-15","Secretaría de Educación, Cultura y Deporte de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. Casa de Justicia 12, PB","Col. Fracciorama 2000","24090","(981) 813 21 43","","http://www.somedicyt.org.mx/congreso_2003/Memorias/descargas_pdf/educacion_no_formal/descarga_ojeda_macossay.pdf","casa_tec_campeche@hotmail.com","",-90.53054,19.82404,"http://sic.gob.mx/ficha.php?table=museo&table_id=1601","2018-05-18 13:32:19-05"
2108,"Museo de sitio de la Zona Arqueológica de Edzná","","1000-01-01","Secretaría de Cultura/INAH",4,"Campeche",2,"Campeche",92,"Uzahzil-Edzná (Nohyaxché)","Carr. Federal Campeche-Edzná KM. 55 (localizado en el entronque con el Km 45 de la carr. núm. 188)","","","(981) 816 91 11","http://www.inah.gob.mx/zonas/65-zona-arqueologica-edzna","","candelaria_duarte@inah.gob.mx; direccion.camp@inah.gob.mx","",-90.23059,19.59712,"http://sic.gob.mx/ficha.php?table=museo&table_id=2108","2019-06-28 05:05:55-05"
